"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Water Temp","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Logger Temperature","Internal Batt","RPM","Steering Angle","Pitch Angle","Yaw Angle"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","°C","V","rpm","deg","deg","deg"
"0.000","9.8673","15","0.0000","0.0000","0.0345","-108.3766","0.0000","163.0927","26.0000","0.0900","10000.0000","44.98468268","4.85448446","18.1","0.48","0.04","0.87","-9.7","8.9","-0.7","10.3","3.5","6578","-1.2","42.0","-11.4"
"0.050","9.8737","15","0.0094","0.0047","0.0309","-108.2995","1.9290","163.0822","25.9850","0.0900","81.4623","44.98468270","4.85448432","18.1","0.49","0.03","0.87","-10.1","-16.0","-3.0","10.3","3.5","6578","-1.1","41.9","-11.4"
"0.100","10.1201","15","0.1574","0.1537","-0.0386","-106.6254","32.2078","162.8136","25.6400","0.0900","5.0009","44.98468317","4.85448087","18.1","0.47","0.02","0.85","-6.7","27.4","5.1","10.3","3.5","6578","-0.6","41.9","-11.6"
"0.150","10.5383","15","0.1619","0.2248","-0.1706","-105.1811","31.7720","162.5307","25.3350","0.0955","5.2790","44.98468371","4.85447725","18.1","0.49","0.01","0.86","-0.4","-2.6","-2.2","10.3","3.5","6586","-0.4","41.8","-11.7"
"0.200","10.6179","15","-0.1594","0.0195","-0.3532","-105.9497","-30.1109","162.2313","25.0400","0.1000","5.6122","44.98468419","4.85447374","18.1","0.49","0.01","0.87","1.7","-1.8","2.1","10.3","3.5","6591","-0.4","41.8","-11.7"
"0.250","10.9570","15","-0.0302","0.2332","-0.4584","-106.5805","-5.7579","161.9382","24.6900","0.1000","30.2867","44.98468458","4.85447021","18.1","0.50","0.02","0.87","0.9","3.9","-0.5","10.3","3.5","6595","-0.4","41.8","-11.7"
"0.300","11.4866","15","0.0646","0.2948","-0.5583","-106.1158","11.4885","161.6842","24.4400","0.1000","15.9128","44.98468491","4.85446669","18.1","0.49","0.02","0.87","-5.4","31.7","1.5","10.3","3.5","6594","-0.5","41.8","-11.8"
"0.350","11.7227","15","0.1080","0.1125","-0.4776","-104.9806","19.1077","161.4769","24.1900","0.1000","9.7643","44.98468526","4.85446344","18.1","0.51","0.02","0.87","-4.3","4.9","-3.8","10.3","3.5","6592","-0.4","41.9","-11.8"
"0.400","11.8524","15","-0.0428","0.0873","-0.1532","-105.2316","-7.3744","161.2894","23.9400","0.1000","25.5800","44.98468551","4.85446006","18.1","0.49","0.02","0.86","-5.4","9.5","1.4","10.3","3.5","6598","-0.3","41.9","-11.9"
"0.450","12.4697","15","-0.0542","0.3967","0.0001","-105.7000","-9.1958","161.0888","23.6850","0.1000","21.5817","44.98468562","4.85445644","18.0","0.51","0.02","0.87","-2.6","-0.7","-3.3","10.3","3.5","6606","-0.1","41.9","-12.1"
"0.500","13.1211","15","-0.0899","0.3676","-0.2223","-106.3984","-14.3649","160.8774","23.3400","0.1000","14.5374","44.98468577","4.85445296","18.1","0.49","0.02","0.87","-4.2","26.1","2.8","10.3","3.5","6602","0.0","41.9","-12.2"
"0.550","13.6324","15","-0.0213","0.2765","-0.3130","-106.7288","-3.5082","160.6901","23.1450","0.1000","61.8462","44.98468578","4.85444958","18.1","0.51","0.02","0.88","-7.1","-1.4","-4.5","10.3","3.5","6594","0.1","41.8","-12.2"
"0.600","13.9975","15","0.1735","0.0650","-0.3555","-106.6716","25.5321","160.5506","22.9400","0.1000","8.7254","44.98468565","4.85444644","18.1","0.49","0.02","0.87","-9.9","23.0","-2.0","10.3","3.5","6603","0.3","41.7","-12.3"
"0.650","14.1684","15","0.0374","0.2217","-0.4035","-104.5092","5.4782","160.3842","22.6900","0.0900","41.1624","44.98468575","4.85444302","18.1","0.49","0.02","0.87","-6.6","13.1","-5.2","10.3","3.5","6610","0.6","41.6","-12.6"
"0.700","14.1322","15","0.0448","0.1984","-0.3144","-103.4927","6.3804","160.2529","22.4400","0.0900","35.2517","44.98468574","4.85443998","18.0","0.49","0.03","0.87","-6.5","30.2","-0.1","10.3","3.5","6608","0.8","41.7","-12.8"
"0.750","14.6679","15","0.0616","0.1868","-0.4805","-103.2871","8.5412","160.0748","22.1900","0.0900","27.3319","44.98468577","4.85443662","18.1","0.50","0.02","0.88","-7.6","-6.1","-6.6","10.3","3.5","6609","1.0","41.7","-13.0"
